album_id,album_title,cover_art_url,album_release_year,album_release_month,album_release_day
491157,Rodeo (Deluxe),https://images.genius.com/5c7caca1f42c3e618913517934e64496.640x640x1.jpg,2015,9,4
119674,If You're Reading This It's Too Late,https://images.genius.com/bcf01db777c6e5c46eddb1031a2008d1.1000x1000x1.jpg,2015,2,13
287219,I Decided.,https://images.genius.com/74cd28ef5c9f93715d79175cd8e5e81f.500x500x1.jpg,2017,2,3
119674,If You're Reading This It's Too Late,https://images.genius.com/bcf01db777c6e5c46eddb1031a2008d1.1000x1000x1.jpg,2015,2,13
152654,ASTROWORLD,https://images.genius.com/9c8508d3056b146aee2ad72d5f0606e7.926x926x1.jpg,2018,8,3
,,,,,
491157,Rodeo (Deluxe),https://images.genius.com/5c7caca1f42c3e618913517934e64496.640x640x1.jpg,2015,9,4
118666,Dark Sky Paradise,https://images.genius.com/da4b4fc50f5762c557f3d9f6f0f5dbee.1000x1000x1.jpg,2015,2,24
152654,ASTROWORLD,https://images.genius.com/9c8508d3056b146aee2ad72d5f0606e7.926x926x1.jpg,2018,8,3
151943,Birds in the Trap Sing McKnight,https://images.genius.com/5f66b21e0c69ff6c30080f2c6795f025.924x924x1.jpg,2016,9,2
36559,Magna Carta... Holy Grail,https://s3.amazonaws.com/rapgenius/MCHG_cover.jpg,2013,7,4
151943,Birds in the Trap Sing McKnight,https://images.genius.com/5f66b21e0c69ff6c30080f2c6795f025.924x924x1.jpg,2016,9,2
110716,Days Before Rodeo,https://images.genius.com/ae4cdbfd5d98b2b161e9adb04edbe619.500x500x1.jpg,2014,8,18
347955,Luv Is Rage 2,https://images.genius.com/01ecec6354fe061901f305a6a11ee524.1000x1000x1.jpg,2017,8,25
347955,Luv Is Rage 2,https://images.genius.com/01ecec6354fe061901f305a6a11ee524.1000x1000x1.jpg,2017,8,25
22127,Owl Pharaoh,https://images.genius.com/d7c20b1db81c7a4cd9dffe5e0ec9ecaa.1000x1000x1.jpg,2013,5,21
160640,Cozy Tapes, Vol. 1: Friends,https://images.genius.com/bb498d327c020c240c2489256f22c120.1000x1000x1.jpg,2016,10,31
149228,Lil Uzi Vert Vs. The World,https://images.genius.com/ae47e2a7642e50b84083e2e838fd4770.1000x1000x1.jpg,2016,4,15
459148,QUAVO HUNCHO,https://images.genius.com/39a1f9d0d1403b9749469ec36ad251e9.1000x1000x1.jpg,2018,10,11
,,,,,
491157,Rodeo (Deluxe),https://images.genius.com/5c7caca1f42c3e618913517934e64496.640x640x1.jpg,2015,9,4
347955,Luv Is Rage 2,https://images.genius.com/01ecec6354fe061901f305a6a11ee524.1000x1000x1.jpg,2017,8,25
345439,We Run This, Vol. 13,https://images.genius.com/d830c23645d7f7af55dc88ee034e1954.800x800x1.jpg,2017,None,None
326050,True to Self,https://images.genius.com/25f27b933ed193df22a7f3a349b8e081.1000x1000x1.jpg,2017,5,26
287219,I Decided.,https://images.genius.com/74cd28ef5c9f93715d79175cd8e5e81f.500x500x1.jpg,2017,2,3
126701,Slime Season,https://images.genius.com/e7c67a01f872ff7f8c60b34a636ec3f4.500x500x1.jpg,2015,9,16
,,,,,
326050,True to Self,https://images.genius.com/25f27b933ed193df22a7f3a349b8e081.1000x1000x1.jpg,2017,5,26
461853,DiCaprio 2,https://images.genius.com/a24486c6e4c335d50ce79fdcf7bef5ac.1000x1000x1.jpg,2018,11,26
287386,Do What Thou Wilt.,https://images.genius.com/c2b989273a64cf1720624b72503a60bd.1000x1000x1.jpg,2016,12,9
407984,Surrender Your Soul,https://images.genius.com/d915da9f41b49bdab8b9a2521270400d.800x800x1.jpg,2018,3,6
,,,,,
139629,Happening in the Grey Area,https://images.genius.com/0cce30e4ec5cad078d0353d507e17078.500x500x1.jpg,2015,None,None
342546,XXL Freshman 2013 Mixtape,https://images.genius.com/d066a9988a6b27fce3cb4f1430fd628f.660x660x1.jpg,2013,5,1
368797,The World Is Yours,https://images.genius.com/32e4866c0ac32e344c406d99048f2e3f.1000x1000x1.jpg,2018,3,30
465959,STOKELEY,https://images.genius.com/66707e67245fd5b934257c15027ab096.1000x1000x1.jpg,2018,11,30
460799,KILLSTREAK,https://images.genius.com/b3c48155a9ff85924314d8cbbe96d9ec.268x268x1.jpg,2018,9,14
330004,Teenage Emotions,https://images.genius.com/d5460694b80c346eac25e4426f6f5ed5.1000x1000x1.jpg,2017,5,26
139436,O's To Oscars,https://images.genius.com/dcf522fcde41d8de13dd080854dd49b8.800x800x1.jpg,2015,12,14
412736,We Beefin? - EP,https://images.genius.com/59aa4dc8c5145847bcc39c1a3c251d28.1000x1000x1.jpg,2018,3,23
407984,Surrender Your Soul,https://images.genius.com/d915da9f41b49bdab8b9a2521270400d.800x800x1.jpg,2018,3,6
460804,Caution,https://images.genius.com/c875d08f7a5521599cadf9c7f8416d80.1000x1000x1.jpg,2018,11,16
,,,,,
,,,,,
407984,Surrender Your Soul,https://images.genius.com/d915da9f41b49bdab8b9a2521270400d.800x800x1.jpg,2018,3,6
,,,,,
327817,Forward Thinking II,https://images.genius.com/1a5236610aad194da0479836d64df184.500x500x1.jpg,2017,None,None
460799,KILLSTREAK,https://images.genius.com/b3c48155a9ff85924314d8cbbe96d9ec.268x268x1.jpg,2018,9,14
149228,Lil Uzi Vert Vs. The World,https://images.genius.com/ae47e2a7642e50b84083e2e838fd4770.1000x1000x1.jpg,2016,4,15
378160,88GLAM,https://images.genius.com/b4c3804d105c45bae4444a238d6ee7a9.1000x1000x1.jpg,2017,11,7
26551,Black Mozart,https://images.genius.com/8b0133c1b85b24da9c4bf5cfcd750497.600x600x1.jpg,2013,None,None
420353,MUDBOY,https://images.genius.com/60959286b7e422e8ea15d3430eacfd77.1000x1000x1.jpg,2018,10,5
,,,,,
460799,KILLSTREAK,https://images.genius.com/b3c48155a9ff85924314d8cbbe96d9ec.268x268x1.jpg,2018,9,14
470878,Antares,https://images.genius.com/970aef13bbd6866c2650b7163af55373.1000x1000x1.jpg,2018,11,2
460799,KILLSTREAK,https://images.genius.com/b3c48155a9ff85924314d8cbbe96d9ec.268x268x1.jpg,2018,9,14
405243,Life After Love, Pt. 2,https://images.genius.com/bcb4c6897ac3fa6bc7f3b44699ac473d.739x739x1.jpg,2018,9,28
460799,KILLSTREAK,https://images.genius.com/b3c48155a9ff85924314d8cbbe96d9ec.268x268x1.jpg,2018,9,14
,,,,,
339901,One Night Only,https://images.genius.com/4a77aa520a63b817f7d0ed72c9f0e892.1000x1000x1.jpg,2017,7,12
,,,,,
,,,,,
26551,Black Mozart,https://images.genius.com/8b0133c1b85b24da9c4bf5cfcd750497.600x600x1.jpg,2013,None,None
,,,,,
303780,I Think You've Gone Mad (or Sins of the Father),https://images.genius.com/bdd0260fede019c9970392f236108b21.1000x1000x1.jpg,2017,2,5
,,,,,
313511,Stillness In Wonderland,https://images.genius.com/95fb9527568cc8a32ce7f6765fcddc17.600x600x1.png,2016,12,16
,,,,,
84546,BLUE,https://images.genius.com/b8dd4b32bddab5981f8b79ccfea1068f.266x266x1.png,2017,11,30
125505,MZRT,https://images.genius.com/521ca34cd51b5ee28478eec359ceb251.600x600x1.png,2015,7,4
420978,Young HeartThrob,https://images.genius.com/53c91b90a4e767ef200954dab3346432.1000x1000x1.jpg,2018,11,9
389981,Deadstar 2,https://images.genius.com/59d1a28988c166b0e1f944141c0b272b.950x950x1.jpg,2019,None,None
470878,Antares,https://images.genius.com/970aef13bbd6866c2650b7163af55373.1000x1000x1.jpg,2018,11,2
,,,,,
117291,Gundam Pt. I,https://images.genius.com/5edaf4f09e809eb4b3dd57527cae0da7.1000x1000x1.jpg,2014,9,21
,,,,,
339901,One Night Only,https://images.genius.com/4a77aa520a63b817f7d0ed72c9f0e892.1000x1000x1.jpg,2017,7,12
303780,I Think You've Gone Mad (or Sins of the Father),https://images.genius.com/bdd0260fede019c9970392f236108b21.1000x1000x1.jpg,2017,2,5
424489,INSTALLATION I,https://images.genius.com/af6835c46470f3beb343620f34a23135.1000x1000x1.jpg,2018,5,4
491316,Joyride [RCA Sessions],https://images.genius.com/295f408212bac9b7d63fbfc3d557303a.444x444x1.jpg,,,
303780,I Think You've Gone Mad (or Sins of the Father),https://images.genius.com/bdd0260fede019c9970392f236108b21.1000x1000x1.jpg,2017,2,5
323738,FLEUREVER ,https://images.genius.com/565283cd3ea461868a6cb0a7dc927b9b.1000x1000x1.jpg,2018,7,27
164237,AGE 101: DROP X ,https://images.genius.com/9fc9e5593d34b7a9e17209b2df442988.500x500x1.jpg,2015,12,22
303780,I Think You've Gone Mad (or Sins of the Father),https://images.genius.com/bdd0260fede019c9970392f236108b21.1000x1000x1.jpg,2017,2,5
309861,solo boy band,https://images.genius.com/3a49c0b6149529739addb7601c708c81.500x500x1.jpg,2016,12,6
303780,I Think You've Gone Mad (or Sins of the Father),https://images.genius.com/bdd0260fede019c9970392f236108b21.1000x1000x1.jpg,2017,2,5
303780,I Think You've Gone Mad (or Sins of the Father),https://images.genius.com/bdd0260fede019c9970392f236108b21.1000x1000x1.jpg,2017,2,5
383984,C.C.W.M.T.T,https://images.genius.com/6c62c27636b7249e3ce11a80442872c9.1000x1000x1.jpg,2017,11,29
84546,BLUE,https://images.genius.com/b8dd4b32bddab5981f8b79ccfea1068f.266x266x1.png,2017,11,30
368744,11-se,https://images.genius.com/a4bfbdcf4edfc4a818fa719a1705db89.696x696x1.jpg,2017,9,11
303780,I Think You've Gone Mad (or Sins of the Father),https://images.genius.com/bdd0260fede019c9970392f236108b21.1000x1000x1.jpg,2017,2,5
369217,The Blind Star,https://images.genius.com/4feb147218112f2afa4bb251df0964d0.999x999x1.jpg,2017,9,17
303780,I Think You've Gone Mad (or Sins of the Father),https://images.genius.com/bdd0260fede019c9970392f236108b21.1000x1000x1.jpg,2017,2,5
,,,,,
,,,,,
,,,,,
,,,,,
139112,The Stone Junction ,https://images.genius.com/9fef86663ea387322d9688b8e35b6fbb.640x639x1.png,2016,None,None
,,,,,
274411,Gundam Pt. II,https://images.genius.com/f4919efa596234b1fd527f20cae10e5c.1000x1000x1.jpg,2015,6,8
109522,Years Ahead,https://images.genius.com/ac5cc4d8a3438dda60f26832da8b04a5.500x500x1.jpg,2014,None,None
,,,,,
,,,,,
,,,,,
337662,Bleeding Bull,https://images.genius.com/e10b47ba9ade417db384f4f67fa84226.500x500x1.jpg,2017,None,None
109522,Years Ahead,https://images.genius.com/ac5cc4d8a3438dda60f26832da8b04a5.500x500x1.jpg,2014,None,None
,,,,,
399536,Trap Ye 2,https://images.genius.com/a50787ad96e9e8e8bc4559339e2ce670.500x500x1.jpg,2018,2,2
116918,King of the Wild Things ,https://images.genius.com/e8211f31bcb14a887d6836100656baf0.500x500x1.jpg,2014,None,None
,,,,,
,,,,,
109522,Years Ahead,https://images.genius.com/ac5cc4d8a3438dda60f26832da8b04a5.500x500x1.jpg,2014,None,None
326695,FREEDAHM,https://images.genius.com/5651dc4c5a94e664552749abd7c46dc9.700x700x1.jpg,2016,None,None
,,,,,
495936,PSYCO,https://images.genius.com/287d54ff2213c35caf47c397d8de5103.640x640x1.jpg,2019,1,14
349566,Hero,https://images.genius.com/1223754e0c26779faeb79e6118ebd69d.1000x1000x1.jpg,2018,6,28
399512,Show Me No Love EP,https://images.genius.com/6721ea210689f95eb08fd62e7077d68f.539x539x1.jpg,2017,12,21
,,,,,
461691,Ephemeral,https://images.genius.com/cdeccdd78d4751af86b9b57a61920bb8.1000x1000x1.jpg,2018,9,15
420678,Young Heart Throb - EP,https://images.genius.com/7a294898c8db5ba892a2941cc99a166d.499x499x1.jpg,2015,4,10
495936,PSYCO,https://images.genius.com/287d54ff2213c35caf47c397d8de5103.640x640x1.jpg,2019,1,14
,,,,,
109522,Years Ahead,https://images.genius.com/ac5cc4d8a3438dda60f26832da8b04a5.500x500x1.jpg,2014,None,None
447143,Take the Night Away 2,https://images.genius.com/afad695aef82fd6b1c9143a62fe4a69a.1000x1000x1.jpg,2018,11,16
,,,,,
,,,,,
148131,MASK,https://images.genius.com/d3205fdec8e581fda3dfdec9d5648db3.1000x1000x1.jpg,2016,None,None
,,,,,
,,,,,
,,,,,
445532,J.A.M. Vol. 2,https://assets.genius.com/images/default_cover_art.png?1550160033,2019,None,None
,,,,,
495936,PSYCO,https://images.genius.com/287d54ff2213c35caf47c397d8de5103.640x640x1.jpg,2019,1,14
153811,It's Not Too Late,https://images.genius.com/04fb1146dbc08064da59640d1bb35020.300x300x1.jpg,2015,None,None
447143,Take the Night Away 2,https://images.genius.com/afad695aef82fd6b1c9143a62fe4a69a.1000x1000x1.jpg,2018,11,16
117466,The Golden Ticket,https://assets.genius.com/images/default_cover_art.png?1550160033,,,
,,,,,
,,,,,
495936,PSYCO,https://images.genius.com/287d54ff2213c35caf47c397d8de5103.640x640x1.jpg,2019,1,14
325848,We Must Do Better,https://images.genius.com/fb559a3f326179233ed65a8e15bf9301.1000x1000x1.jpg,2017,1,7
274411,Gundam Pt. II,https://images.genius.com/f4919efa596234b1fd527f20cae10e5c.1000x1000x1.jpg,2015,6,8
109522,Years Ahead,https://images.genius.com/ac5cc4d8a3438dda60f26832da8b04a5.500x500x1.jpg,2014,None,None
147529,I Can't Die Yet,https://images.genius.com/71f52efe3864e7c0aaf72dadeac1430c.1000x1000x1.jpg,2016,3,15
109522,Years Ahead,https://images.genius.com/ac5cc4d8a3438dda60f26832da8b04a5.500x500x1.jpg,2014,None,None
148278,MODERN,https://images.genius.com/ac9cd0704d2900af1c6e79b2a3191505.600x600x1.jpg,2016,None,None
471732,TRD the EP,https://assets.genius.com/images/default_cover_art.png?1549919799,2019,1,15
404093,Dreams of My Death: 2030 ,https://images.genius.com/6815ba81932d5e72888708d7307568e8.700x700x1.jpg,2018,3,1
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
410518,Walking On Water: The Prelude,https://images.genius.com/45048b45fbfbfe2da0e4f5370e8f84d0.600x600x1.jpg,,,
450975,Big Bad Fox,https://images.genius.com/44c8eb5167b5147b55c219c2a543a872.1000x1000x1.jpg,,,
124543,3 EP ,https://assets.genius.com/images/default_cover_art.png?1550160033,,,
,,,,,
461691,Ephemeral,https://images.genius.com/cdeccdd78d4751af86b9b57a61920bb8.1000x1000x1.jpg,2018,9,15
454324,Black Panther: Wakanda Remixed - EP,https://images.genius.com/2fec82c303bdf1543e6f252ac23af715.1000x1000x1.jpg,2018,8,17
,,,,,
495936,PSYCO,https://images.genius.com/287d54ff2213c35caf47c397d8de5103.640x640x1.jpg,2019,1,14
472367,Nose Bleed [purp. chapt.],https://images.genius.com/0ee761c73e7378cedb95ac43e1e138cc.1000x1000x1.jpg,2018,10,23
138660,Blvcksheep,https://assets.genius.com/images/default_cover_art.png?1550160033,,,
,,,,,
,,,,,
,,,,,
,,,,,
