song_id, song_title, album_id, performer_id, release_date, release_year, release_month, release_day, apple_music_player_url
3291049 , MotorSport , 369295 , 1345224 , 2017-10-27 , 2017 , 10 , 27 , https://genius.com/songs/3291049/apple_music_player
3767821 , FEFE , 456145 , 1124097 , 2018-07-22 , 2018 , 7 , 22 , https://genius.com/songs/3767821/apple_music_player
3580132 , Nice For What , 420582 , 130 , 2018-04-06 , 2018 , 4 , 6 , https://genius.com/songs/3580132/apple_music_player
3028687 , Portland , 286515 , 130 , 2017-03-18 , 2017 , 3 , 18 , https://genius.com/songs/3028687/apple_music_player
3089187 , BUTTERFLY EFFECT , 152654 , 20185 , 2017-05-15 , 2017 , 5 , 15 , https://genius.com/songs/3089187/apple_music_player
3017997 , No Frauds ,  , 1105909 , 2017-03-10 , 2017 , 3 , 10 , https://genius.com/songs/3017997/apple_music_player
2463399 , With You , 132506 , 130 , 2016-04-29 , 2016 , 4 , 29 , https://genius.com/songs/2463399/apple_music_player
2554175 , No Shopping , 158551 , 1583 , 2016-07-16 , 2016 , 7 , 16 , https://genius.com/songs/2554175/apple_music_player
3627217 , I Do , 384474 , 621678 , 2018-04-06 , 2018 , 4 , 6 , https://genius.com/songs/3627217/apple_music_player
2992774 , No Long Talk , 286515 , 130 , 2017-03-18 , 2017 , 3 , 18 , https://genius.com/songs/2992774/apple_music_player
2948950 , Get Right Witcha , 168545 , 44080 , 2017-01-27 , 2017 , 1 , 27 , https://genius.com/songs/2948950/apple_music_player
4051409 , MAMA , 456145 , 1124097 , 2018-11-27 , 2018 , 11 , 27 , https://genius.com/songs/4051409/apple_music_player
2849772 , ​sweet sweet , 151943 , 20185 , 2016-09-02 , 2016 , 9 , 2 , https://genius.com/songs/2849772/apple_music_player
3105427 , 4 AM , 323664 , 14325 , 2017-05-30 , 2017 , 5 , 30 , https://genius.com/songs/3105427/apple_music_player
3188105 , She For Keeps , 347750 , 995189 , 2017-12-08 , 2017 , 12 , 8 , https://genius.com/songs/3188105/apple_music_player
3016062 , It's a Vibe , 323664 , 14325 , 2017-03-09 , 2017 , 3 , 9 , https://genius.com/songs/3016062/apple_music_player
3430256 , COOLEST MONKEY IN THE JUNGLE , 351623 , 396531 , 2018-05-11 , 2018 , 5 , 11 , https://genius.com/songs/3430256/apple_music_player
2849776 , ​outside , 151943 , 20185 , 2016-09-02 , 2016 , 9 , 2 , https://genius.com/songs/2849776/apple_music_player
2961664 , Go Off , 333548 , 1112475 , 2017-03-02 , 2017 , 3 , 2 , https://genius.com/songs/2961664/apple_music_player
2893059 , Offended , 138044 , 1319 , 2016-10-27 , 2016 , 10 , 27 , https://genius.com/songs/2893059/apple_music_player
3386843 , Huncho Jack , 338359 , 1043518 , 2017-12-22 , 2017 , 12 , 22 , https://genius.com/songs/3386843/apple_music_player
3030898 , Still Got Time , 347254 , 339472 , 2017-03-24 , 2017 , 3 , 24 , https://genius.com/songs/3030898/apple_music_player
2168784 , Pipe It Up , 119474 , 44080 , 2015-07-31 , 2015 , 7 , 31 , https://genius.com/songs/2168784/apple_music_player
3468918 , Gang Gang , 369295 , 44080 , 2018-01-26 , 2018 , 1 , 26 , https://genius.com/songs/3468918/apple_music_player
3386847 , Saint , 338359 , 1043518 , 2017-12-22 , 2017 , 12 , 22 , https://genius.com/songs/3386847/apple_music_player
3533081 , 123 , 389797 , 1318892 , 2018-03-01 , 2018 , 3 , 1 , https://genius.com/songs/3533081/apple_music_player
3386845 , Eye 2 Eye , 338359 , 1043518 , 2017-12-21 , 2017 , 12 , 21 , https://genius.com/songs/3386845/apple_music_player
4014122 , HUNCHO DREAMS , 459148 , 61600 , 2018-10-11 , 2018 , 10 , 11 , https://genius.com/songs/4014122/apple_music_player
371494 , Antidope , 104703 , 44080 , 2014-02-25 , 2014 , 2 , 25 , https://genius.com/songs/371494/apple_music_player
3948198 , KANGA , 456145 , 1124097 , 2018-11-27 , 2018 , 11 , 27 , https://genius.com/songs/3948198/apple_music_player
3782528 , Bigger Than You , 438741 , 14325 , 2018-06-15 , 2018 , 6 , 15 , https://genius.com/songs/3782528/apple_music_player
3733974 , Forever Ever , 410684 , 1086436 , 2018-08-10 , 2018 , 8 , 10 , https://genius.com/songs/3733974/apple_music_player
2489747 , Back on Road , 158712 , 13 , 2016-06-04 , 2016 , 6 , 4 , https://genius.com/songs/2489747/apple_music_player
3890518 , WORKIN ME , 459148 , 61600 , 2018-08-10 , 2018 , 8 , 10 , https://genius.com/songs/3890518/apple_music_player
2489972 , Why , 156911 , 325757 , 2016-06-04 , 2016 , 6 , 4 , https://genius.com/songs/2489972/apple_music_player
474197 , Gas And Mud , 88167 , 21964 , 2014-07-07 , 2014 , 7 , 7 , https://genius.com/songs/474197/apple_music_player
3082387 , Undefeated , 342891 , 639521 , 2017-09-29 , 2017 , 9 , 29 , https://genius.com/songs/3082387/apple_music_player
440921 , New Atlanta , 104703 , 44080 , 2014-05-29 , 2014 , 5 , 29 , https://genius.com/songs/440921/apple_music_player
2929485 , Growth , 313336 , 95489 , 2016-12-10 , 2016 , 12 , 10 , https://genius.com/songs/2929485/apple_music_player
269861 , Emmitt Smith , 104703 , 44080 , 2013-11-18 , 2013 , 11 , 18 , https://genius.com/songs/269861/apple_music_player
3806945 , Where I Come From , 441118 , 1512456 , 2018-06-27 , 2018 , 6 , 27 , https://genius.com/songs/3806945/apple_music_player
3039438 , Err Time , 332122 , 12051 , 2017-02-01 , 2017 , 2 , 1 , https://genius.com/songs/3039438/apple_music_player
3375674 , Trick Me Out My Spot , 387846 , 12051 , 2017-12-15 , 2017 , 12 , 15 , https://genius.com/songs/3375674/apple_music_player
3617557 , 20lbs , 442319 , 1516604 , 2018-03-30 , 2018 , 3 , 30 , https://genius.com/songs/3617557/apple_music_player
3375693 , Family To Feed , 353819 , 12051 , 2017-07-04 , 2017 , 7 , 4 , https://genius.com/songs/3375693/apple_music_player
3375415 , Life Insurance Pt. 2 , 383396 , 12051 , 2017-12-16 , 2017 , 12 , 16 , https://genius.com/songs/3375415/apple_music_player
3258930 , Black Magic , 355395 , 1000140 , 2017-09-15 , 2017 , 9 , 15 , https://genius.com/songs/3258930/apple_music_player
2862662 , Squad , 221679 , 1000140 , 2016-02-05 , 2016 , 2 , 5 , https://genius.com/songs/2862662/apple_music_player
3375421 , Peephole (Remix) , 383396 , 12051 , 2017-12-16 , 2017 , 12 , 16 , https://genius.com/songs/3375421/apple_music_player
3375673 , Brick Music , 387846 , 12051 , 2017-12-15 , 2017 , 12 , 15 , https://genius.com/songs/3375673/apple_music_player
3158718 , Itz Dat , 355395 , 12051 ,  ,  ,  ,  , https://genius.com/songs/3158718/apple_music_player
2862653 , Did Dat , 221679 , 1000140 , 2016-02-05 , 2016 , 2 , 5 , https://genius.com/songs/2862653/apple_music_player
3258945 , All Traps Closed , 355395 , 1000140 , 2017-09-29 , 2017 , 9 , 29 , https://genius.com/songs/3258945/apple_music_player
2864738 , Right Ni , 221679 , 1000140 , 2016-02-05 , 2016 , 2 , 5 , https://genius.com/songs/2864738/apple_music_player
2860942 , Ashtray , 221679 , 1000140 , 2016-02-05 , 2016 , 2 , 5 , https://genius.com/songs/2860942/apple_music_player
3273719 , Peephole , 355395 , 1000140 , 2016-08-03 , 2016 , 8 , 3 , https://genius.com/songs/3273719/apple_music_player
3603431 , Paid in... , 38165 , 12051 ,  , 2013 ,  ,  , https://genius.com/songs/3603431/apple_music_player
2861975 , Projects , 221679 , 1000140 , 2016-02-05 , 2016 , 2 , 5 , https://genius.com/songs/2861975/apple_music_player
2861786 , Jungle , 221679 , 1000140 , 2016-02-05 , 2016 , 2 , 5 , https://genius.com/songs/2861786/apple_music_player
2861981 , Lay It Down , 221679 , 1000140 , 2016-02-05 , 2016 , 2 , 5 , https://genius.com/songs/2861981/apple_music_player
2855291 , Notorious , 221679 , 1000140 , 2016-02-05 , 2016 , 2 , 5 , https://genius.com/songs/2855291/apple_music_player
2861949 , Shades On , 221679 , 1000140 , 2016-02-25 , 2016 , 2 , 25 , https://genius.com/songs/2861949/apple_music_player
2861964 , 25/8 , 221679 , 1000140 , 2016-02-05 , 2016 , 2 , 5 , https://genius.com/songs/2861964/apple_music_player
2861713 , I'm On It , 221679 , 1000140 , 2016-02-05 , 2016 , 2 , 5 , https://genius.com/songs/2861713/apple_music_player
2861960 , Up in the Morning , 221679 , 1000140 , 2016-02-25 , 2016 , 2 , 25 , https://genius.com/songs/2861960/apple_music_player
2861956 , Crazy , 221679 , 1000140 , 2016-02-25 , 2016 , 2 , 25 , https://genius.com/songs/2861956/apple_music_player
3659961 , Kicked Yo Door , 421196 , 973673 , 2018-04-18 , 2018 , 4 , 18 , https://genius.com/songs/3659961/apple_music_player
176872 , Versace (Remix) , 36011 , 44080 , 2013-06-22 , 2013 , 6 , 22 , https://genius.com/songs/176872/apple_music_player
3277720 , ICY GRL , 408128 , 1240328 , 2017-05-25 , 2017 , 5 , 25 , https://genius.com/songs/3277720/apple_music_player
2859956 , Used to This , 330482 , 2197 , 2016-11-04 , 2016 , 11 , 4 , https://genius.com/songs/2859956/apple_music_player
2948961 , Kelly Price , 168545 , 44080 , 2017-01-27 , 2017 , 1 , 27 , https://genius.com/songs/2948961/apple_music_player
2027385 , 3500 , 491157 , 20185 , 2015-06-08 , 2015 , 6 , 8 , https://genius.com/songs/2027385/apple_music_player
2290047 , Stimulated , 129262 , 554 , 2015-08-24 , 2015 , 8 , 24 , https://genius.com/songs/2290047/apple_music_player
2948950 , Get Right Witcha , 168545 , 44080 , 2017-01-27 , 2017 , 1 , 27 , https://genius.com/songs/2948950/apple_music_player
2844231 , Buy It ,  , 217208 , 2016-08-24 , 2016 , 8 , 24 , https://genius.com/songs/2844231/apple_music_player
601811 , Want Some More , 97218 , 92 , 2014-12-12 , 2014 , 12 , 12 , https://genius.com/songs/601811/apple_music_player
661322 , Real Sisters , 118111 , 2197 , 2014-12-31 , 2014 , 12 , 31 , https://genius.com/songs/661322/apple_music_player
2688236 , Too Much Sauce , 157471 , 49470 , 2016-06-24 , 2016 , 6 , 24 , https://genius.com/songs/2688236/apple_music_player
526260 , Preach , 102346 , 22437 , 2014-08-11 , 2014 , 8 , 11 , https://genius.com/songs/526260/apple_music_player
2820797 , Feel It , 159573 , 980465 , 2016-07-15 , 2016 , 7 , 15 , https://genius.com/songs/2820797/apple_music_player
2829954 , SideLine Watching (Hold Up) , 159409 , 217208 , 2016-07-31 , 2016 , 7 , 31 , https://genius.com/songs/2829954/apple_music_player
675578 , Lay Up , 118111 , 2197 , 2015-01-15 , 2015 , 1 , 15 , https://genius.com/songs/675578/apple_music_player
3293077 , Designer , 395433 , 654932 , 2017-12-24 , 2017 , 12 , 24 , https://genius.com/songs/3293077/apple_music_player
2972423 , Play Wit Yo Bitch , 328298 , 22437 , 2017-02-01 , 2017 , 2 , 1 , https://genius.com/songs/2972423/apple_music_player
2948956 , Brown Paper Bag , 168545 , 44080 , 2017-01-27 , 2017 , 1 , 27 , https://genius.com/songs/2948956/apple_music_player
2407042 , Dip Dip , 139131 , 430404 , 2015-12-01 , 2015 , 12 , 1 , https://genius.com/songs/2407042/apple_music_player
3147473 , Famous , 346573 , 430404 , 2017-07-07 , 2017 , 7 , 7 , https://genius.com/songs/3147473/apple_music_player
85698 , Truth (Not a Jeezy Diss) , 20357 , 13 , 2012-10-17 , 2012 , 10 , 17 , https://genius.com/songs/85698/apple_music_player
675641 , Peacoat , 118111 , 2197 , 2015-01-15 , 2015 , 1 , 15 , https://genius.com/songs/675641/apple_music_player
2917450 , St. Brick Intro , 247342 , 13 , 2016-11-24 , 2016 , 11 , 24 , https://genius.com/songs/2917450/apple_music_player
3147508 , Nothin New , 346573 , 430404 , 2017-07-07 , 2017 , 7 , 7 , https://genius.com/songs/3147508/apple_music_player
2214973 , Blood on the Money , 127543 , 2197 , 2015-07-17 , 2015 , 7 , 17 , https://genius.com/songs/2214973/apple_music_player
2848632 , Last Time , 247342 , 13 , 2016-09-01 , 2016 , 9 , 1 , https://genius.com/songs/2848632/apple_music_player
176951 , Versace , 36011 , 44080 , 2013-07-09 , 2013 , 7 , 9 , https://genius.com/songs/176951/apple_music_player
2948953 , Big on Big , 168545 , 44080 , 2017-01-27 , 2017 , 1 , 27 , https://genius.com/songs/2948953/apple_music_player
675624 , Just Like Bruddas , 118111 , 2197 , 2015-01-15 , 2015 , 1 , 15 , https://genius.com/songs/675624/apple_music_player
2417551 , Ain't No Time , 143267 , 2197 , 2016-02-12 , 2016 , 2 , 12 , https://genius.com/songs/2417551/apple_music_player
3890637 , Sir , 484805 , 92 , 2018-08-10 , 2018 , 8 , 10 , https://genius.com/songs/3890637/apple_music_player
3821791 , 31 DAYS , 443152 , 2197 , 2018-07-05 , 2018 , 7 , 5 , https://genius.com/songs/3821791/apple_music_player
305169 , Ounces , 104703 , 44080 , 2013-12-17 , 2013 , 12 , 17 , https://genius.com/songs/305169/apple_music_player
2989281 , When I Was Broke , 330482 , 2197 , 2017-02-17 , 2017 , 2 , 17 , https://genius.com/songs/2989281/apple_music_player
182654 , Versace (Freestyle) ,  , 1319 ,  , 2013 ,  ,  , https://genius.com/songs/182654/apple_music_player
2937975 , Shoulda Left You , 321976 , 1048987 , 2016-12-22 , 2016 , 12 , 22 , https://genius.com/songs/2937975/apple_music_player
2830078 , Money Mitch , 159409 , 217208 , 2016-07-31 , 2016 , 7 , 31 , https://genius.com/songs/2830078/apple_music_player
2989284 , Feds Did a Sweep , 330482 , 2197 , 2017-02-17 , 2017 , 2 , 17 , https://genius.com/songs/2989284/apple_music_player
201253 , Morgan Tracy , 26355 , 16808 , 2013-08-06 , 2013 , 8 , 6 , https://genius.com/songs/201253/apple_music_player
236837 , Shooters ,  , 44080 , 2013-03-13 , 2013 , 3 , 13 , https://genius.com/songs/236837/apple_music_player
